ACCOUNT_ID,CUSTOMER_NAME,KYC_STATUS,CUSTOMER_TYPE,IS_PEP
ACC_991,Alpha Global Holdings,Pending,Corporate,False
ACC_112,Rajesh Kumar,Verified,Individual,False
ACC_445,Omega Trade Corp,Verified,Corporate,False
ACC_101,Srinivasta Enterprises,Verified,Corporate,True
ACC_202,Anita Sharma,Pending,Individual,True
ACC_303,Zeta Logistics,Suspended,Corporate,False
ACC_505,Vikram Malhotra,Verified,Individual,False
ACC_606,Sigma Ventures,Pending,Corporate,False
ACC_707,Priya Patel,Verified,Individual,False
ACC_808,Nexus Infotech,Verified,Corporate,False
